,X,Y,date,I_131_(Bq/m3)
119,13.42,52.5,1986-05-11,0.0063
120,13.42,52.5,1986-05-12,0.0053
121,13.42,52.5,1986-05-13,0.0056
122,13.42,52.5,1986-05-14,0.0059
123,13.42,52.5,1986-05-15,0.0062
124,13.42,52.5,1986-05-16,0.0065
125,13.42,52.5,1986-05-17,0.0068
126,13.42,52.5,1986-05-18,0.0070999999999999995
127,13.42,52.5,1986-05-19,0.0074
128,13.42,52.5,1986-05-20,0.006514285714285715
129,13.42,52.5,1986-05-21,0.005628571428571429
130,13.42,52.5,1986-05-22,0.004742857142857143
131,13.42,52.5,1986-05-23,0.0038571428571428576
132,13.42,52.5,1986-05-24,0.002971428571428572
133,13.42,52.5,1986-05-25,0.0020857142857142862
134,13.42,52.5,1986-05-26,0.0012
135,13.42,52.5,1986-05-27,0.0009599999999999999
136,13.42,52.5,1986-05-28,0.0007199999999999999
137,13.42,52.5,1986-05-29,0.00047999999999999996
138,13.42,52.5,1986-05-30,0.00023999999999999998
139,13.42,52.5,1986-05-31,0.0
140,12.78,49.2,1986-04-27,0.0
141,12.78,49.2,1986-04-28,1.1
142,12.78,49.2,1986-04-29,2.2
143,12.78,49.2,1986-04-30,19.65
144,12.78,49.2,1986-05-01,15.6
145,12.78,49.2,1986-05-02,1.38
146,12.78,49.2,1986-05-03,1.31
147,12.78,49.2,1986-05-04,1.25
148,12.78,49.2,1986-05-05,0.77
149,12.78,49.2,1986-05-06,0.49
150,12.78,49.2,1986-05-07,0.5
151,12.78,49.2,1986-05-08,0.025
152,12.78,49.2,1986-05-09,0.02391304347826087
153,12.78,49.2,1986-05-10,0.02282608695652174
154,12.78,49.2,1986-05-11,0.021739130434782608
155,12.78,49.2,1986-05-12,0.020652173913043477
156,12.78,49.2,1986-05-13,0.019565217391304346
157,12.78,49.2,1986-05-14,0.018478260869565215
158,12.78,49.2,1986-05-15,0.017391304347826084
159,12.78,49.2,1986-05-16,0.016304347826086953
160,12.78,49.2,1986-05-17,0.015217391304347822
161,12.78,49.2,1986-05-18,0.01413043478260869
162,12.78,49.2,1986-05-19,0.01304347826086956
163,12.78,49.2,1986-05-20,0.011956521739130428
164,12.78,49.2,1986-05-21,0.010869565217391297
165,12.78,49.2,1986-05-22,0.009782608695652166
166,12.78,49.2,1986-05-23,0.008695652173913035
167,12.78,49.2,1986-05-24,0.007608695652173904
168,12.78,49.2,1986-05-25,0.006521739130434773
169,12.78,49.2,1986-05-26,0.005434782608695642
170,12.78,49.2,1986-05-27,0.0043478260869565105
171,12.78,49.2,1986-05-28,0.0032608695652173794
172,12.78,49.2,1986-05-29,0.0021739130434782483
173,12.78,49.2,1986-05-30,0.0010869565217391172
174,12.78,49.2,1986-05-31,0.0
175,7.87,48.0,1986-04-27,0.0
176,7.87,48.0,1986-04-28,0.25333333333333335
177,7.87,48.0,1986-04-29,0.5066666666666667
178,7.87,48.0,1986-04-30,0.76
179,7.87,48.0,1986-05-01,3.8
180,7.87,48.0,1986-05-02,5.7
181,7.87,48.0,1986-05-03,1.7
182,7.87,48.0,1986-05-04,5.44
183,7.87,48.0,1986-05-05,0.226
184,7.87,48.0,1986-05-06,0.18
185,7.87,48.0,1986-05-07,0.089
186,7.87,48.0,1986-05-08,0.015
187,7.87,48.0,1986-05-09,0.222
188,7.87,48.0,1986-05-10,0.025
189,7.87,48.0,1986-05-11,0.0035
190,7.87,48.0,1986-05-12,0.0002
191,7.87,48.0,1986-05-13,0.0029
192,7.87,48.0,1986-05-14,0.003
193,7.87,48.0,1986-05-15,0.0025
194,7.87,48.0,1986-05-16,0.0048
195,7.87,48.0,1986-05-17,0.004542857142857143
196,7.87,48.0,1986-05-18,0.004285714285714286
197,7.87,48.0,1986-05-19,0.004028571428571429
198,7.87,48.0,1986-05-20,0.0037714285714285723
199,7.87,48.0,1986-05-21,0.0035142857142857154
200,7.87,48.0,1986-05-22,0.0032571428571428586
201,7.87,48.0,1986-05-23,0.003
202,7.87,48.0,1986-05-24,0.0028142857142857145
203,7.87,48.0,1986-05-25,0.002628571428571429
204,7.87,48.0,1986-05-26,0.0024428571428571433
205,7.87,48.0,1986-05-27,0.0022571428571428577
206,7.87,48.0,1986-05-28,0.002071428571428572
207,7.87,48.0,1986-05-29,0.0018857142857142866
208,7.87,48.0,1986-05-30,0.0017
209,7.87,48.0,1986-05-31,0.0
210,9.95,51.53,1986-04-27,0.0
211,9.95,51.53,1986-04-28,0.0008666666666666666
212,9.95,51.53,1986-04-29,0.0017333333333333333
213,9.95,51.53,1986-04-30,0.0026
214,9.95,51.53,1986-05-01,2.1013
215,9.95,51.53,1986-05-02,4.2
216,9.95,51.53,1986-05-03,0.89
217,9.95,51.53,1986-05-04,1.1
218,9.95,51.53,1986-05-05,2.0
219,9.95,51.53,1986-05-06,0.62
220,9.95,51.53,1986-05-07,0.3
221,9.95,51.53,1986-05-08,0.16499999999999998
222,9.95,51.53,1986-05-09,0.03
223,9.95,51.53,1986-05-10,0.022833333333333334
224,9.95,51.53,1986-05-11,0.01566666666666667
225,9.95,51.53,1986-05-12,0.0085
226,9.95,51.53,1986-05-13,0.012
227,9.95,51.53,1986-05-14,0.009
228,9.95,51.53,1986-05-15,0.0072
229,9.95,51.53,1986-05-16,0.0062
230,9.95,51.53,1986-05-17,0.00545
231,9.95,51.53,1986-05-18,0.0047
232,9.95,51.53,1986-05-19,0.0037
233,9.95,51.53,1986-05-20,0.0027
234,9.95,51.53,1986-05-21,0.003
235,9.95,51.53,1986-05-22,0.0021
236,9.95,51.53,1986-05-23,0.003
237,9.95,51.53,1986-05-24,0.00235
238,9.95,51.53,1986-05-25,0.0017
239,9.95,51.53,1986-05-26,0.0022
240,9.95,51.53,1986-05-27,0.0031
241,9.95,51.53,1986-05-28,0.0023
242,9.95,51.53,1986-05-29,0.0012
243,9.95,51.53,1986-05-30,0.00091
244,9.95,51.53,1986-05-31,0.0
245,9.73,52.38,1986-04-27,0.0
246,9.73,52.38,1986-04-28,0.00025
247,9.73,52.38,1986-04-29,0.0005
248,9.73,52.38,1986-04-30,0.00075
249,9.73,52.38,1986-05-01,0.001
250,9.73,52.38,1986-05-02,0.018
251,9.73,52.38,1986-05-03,0.389
252,9.73,52.38,1986-05-04,0.629
253,9.73,52.38,1986-05-05,0.444
254,9.73,52.38,1986-05-06,0.392
255,9.73,52.38,1986-05-07,0.192
256,9.73,52.38,1986-05-08,0.02
257,9.73,52.38,1986-05-09,0.01
258,9.73,52.38,1986-05-10,0.008
259,9.73,52.38,1986-05-11,0.004
260,9.73,52.38,1986-05-12,0.0072
261,9.73,52.38,1986-05-13,0.0056
262,9.73,52.38,1986-05-14,0.004
263,9.73,52.38,1986-05-15,0.003841666666666667
264,9.73,52.38,1986-05-16,0.0036833333333333336
265,9.73,52.38,1986-05-17,0.0035250000000000004
266,9.73,52.38,1986-05-18,0.003366666666666667
267,9.73,52.38,1986-05-19,0.003208333333333334
268,9.73,52.38,1986-05-20,0.0030500000000000006
269,9.73,52.38,1986-05-21,0.0028916666666666674
270,9.73,52.38,1986-05-22,0.002733333333333334
271,9.73,52.38,1986-05-23,0.002575000000000001
272,9.73,52.38,1986-05-24,0.0024166666666666677
273,9.73,52.38,1986-05-25,0.0022583333333333344
274,9.73,52.38,1986-05-26,0.0021
275,9.73,52.38,1986-05-27,0.0016799999999999999
276,9.73,52.38,1986-05-28,0.0012599999999999998
277,9.73,52.38,1986-05-29,0.0008399999999999998
278,9.73,52.38,1986-05-30,0.0004199999999999998
279,9.73,52.38,1986-05-31,0.0
280,8.67,49.0,1986-04-27,0.0
281,8.67,49.0,1986-04-28,0.0
282,8.67,49.0,1986-04-29,0.0
283,8.67,49.0,1986-04-30,0.0
284,8.67,49.0,1986-05-01,0.0
285,8.67,49.0,1986-05-02,0.0
286,8.67,49.0,1986-05-03,0.0
287,8.67,49.0,1986-05-04,0.0
288,8.67,49.0,1986-05-05,0.0
289,8.67,49.0,1986-05-06,0.0
290,8.67,49.0,1986-05-07,0.0
291,8.67,49.0,1986-05-08,0.0
292,8.67,49.0,1986-05-09,0.0
293,8.67,49.0,1986-05-10,0.0
294,8.67,49.0,1986-05-11,0.0
295,8.67,49.0,1986-05-12,0.0
296,8.67,49.0,1986-05-13,0.0
297,8.67,49.0,1986-05-14,0.0
298,8.67,49.0,1986-05-15,0.0
299,8.67,49.0,1986-05-16,0.0
300,8.67,49.0,1986-05-17,0.0
301,8.67,49.0,1986-05-18,0.0
302,8.67,49.0,1986-05-19,0.0
303,8.67,49.0,1986-05-20,0.0
304,8.67,49.0,1986-05-21,0.0
305,8.67,49.0,1986-05-22,0.0
306,8.67,49.0,1986-05-23,0.0
307,8.67,49.0,1986-05-24,0.0
308,8.67,49.0,1986-05-25,0.0
309,8.67,49.0,1986-05-26,0.0
310,8.67,49.0,1986-05-27,0.0
311,8.67,49.0,1986-05-28,0.0
312,8.67,49.0,1986-05-29,0.0
313,8.67,49.0,1986-05-30,0.0
314,8.67,49.0,1986-05-31,0.0
315,7.65,51.11,1986-04-27,0.0
316,7.65,51.11,1986-04-28,0.17875
317,7.65,51.11,1986-04-29,0.3575
318,7.65,51.11,1986-04-30,0.53625
319,7.65,51.11,1986-05-01,0.715
320,7.65,51.11,1986-05-02,1.921
321,7.65,51.11,1986-05-03,1.379
322,7.65,51.11,1986-05-04,0.354
323,7.65,51.11,1986-05-05,0.425
324,7.65,51.11,1986-05-06,0.213
325,7.65,51.11,1986-05-07,0.222
326,7.65,51.11,1986-05-08,0.21275
327,7.65,51.11,1986-05-09,0.2035
328,7.65,51.11,1986-05-10,0.19424999999999998
329,7.65,51.11,1986-05-11,0.18499999999999997
330,7.65,51.11,1986-05-12,0.17574999999999996
331,7.65,51.11,1986-05-13,0.16649999999999995
332,7.65,51.11,1986-05-14,0.15724999999999995
333,7.65,51.11,1986-05-15,0.14799999999999994
334,7.65,51.11,1986-05-16,0.13874999999999993
335,7.65,51.11,1986-05-17,0.12949999999999992
336,7.65,51.11,1986-05-18,0.12024999999999991
337,7.65,51.11,1986-05-19,0.1109999999999999
338,7.65,51.11,1986-05-20,0.1017499999999999
339,7.65,51.11,1986-05-21,0.09249999999999989
340,7.65,51.11,1986-05-22,0.08324999999999988
341,7.65,51.11,1986-05-23,0.07399999999999987
342,7.65,51.11,1986-05-24,0.06474999999999986
343,7.65,51.11,1986-05-25,0.055499999999999855
344,7.65,51.11,1986-05-26,0.04624999999999985
345,7.65,51.11,1986-05-27,0.03699999999999984
346,7.65,51.11,1986-05-28,0.02774999999999983
347,7.65,51.11,1986-05-29,0.018499999999999822
348,7.65,51.11,1986-05-30,0.009249999999999814
349,7.65,51.11,1986-05-31,0.0
350,11.58,48.13,1986-04-27,0.0
351,11.58,48.13,1986-04-28,7.0
352,11.58,48.13,1986-04-29,14.0
353,11.58,48.13,1986-04-30,21.0
354,11.58,48.13,1986-05-01,14.0
355,11.58,48.13,1986-05-02,4.2
356,11.58,48.13,1986-05-03,1.4
357,11.58,48.13,1986-05-04,0.89
358,11.58,48.13,1986-05-05,0.6
359,11.58,48.13,1986-05-06,0.32
360,11.58,48.13,1986-05-07,0.36
361,11.58,48.13,1986-05-08,0.13
362,11.58,48.13,1986-05-09,0.014
363,11.58,48.13,1986-05-10,0.016
364,11.58,48.13,1986-05-11,0.013
365,11.58,48.13,1986-05-12,0.0056
366,11.58,48.13,1986-05-13,0.0026
367,11.58,48.13,1986-05-14,0.0029
368,11.58,48.13,1986-05-15,0.0032
369,11.58,48.13,1986-05-16,0.003
370,11.58,48.13,1986-05-17,0.0028
371,11.58,48.13,1986-05-18,0.0026
372,11.58,48.13,1986-05-19,0.0024
373,11.58,48.13,1986-05-20,0.0021999999999999997
374,11.58,48.13,1986-05-21,0.0019999999999999996
375,11.58,48.13,1986-05-22,0.0017999999999999995
376,11.58,48.13,1986-05-23,0.0015999999999999994
377,11.58,48.13,1986-05-24,0.0013999999999999993
378,11.58,48.13,1986-05-25,0.0011999999999999992
379,11.58,48.13,1986-05-26,0.0009999999999999992
380,11.58,48.13,1986-05-27,0.0007999999999999991
381,11.58,48.13,1986-05-28,0.000599999999999999
382,11.58,48.13,1986-05-29,0.0003999999999999989
383,11.58,48.13,1986-05-30,0.0001999999999999988
384,11.58,48.13,1986-05-31,0.0
385,7.15,53.71,1986-04-27,0.0
386,7.15,53.71,1986-04-28,0.0496
387,7.15,53.71,1986-04-29,0.0992
388,7.15,53.71,1986-04-30,0.1488
389,7.15,53.71,1986-05-01,0.1984
390,7.15,53.71,1986-05-02,0.248
391,7.15,53.71,1986-05-03,0.363
392,7.15,53.71,1986-05-04,0.44
393,7.15,53.71,1986-05-05,0.071
394,7.15,53.71,1986-05-06,0.333
395,7.15,53.71,1986-05-07,0.028
396,7.15,53.71,1986-05-08,0.0066
397,7.15,53.71,1986-05-09,0.0046
398,7.15,53.71,1986-05-10,0.0037
399,7.15,53.71,1986-05-11,0.0026
400,7.15,53.71,1986-05-12,0.0015
401,7.15,53.71,1986-05-13,0.0015028571428571428
402,7.15,53.71,1986-05-14,0.0015057142857142856
403,7.15,53.71,1986-05-15,0.0015085714285714283
404,7.15,53.71,1986-05-16,0.0015114285714285711
405,7.15,53.71,1986-05-17,0.0015142857142857139
406,7.15,53.71,1986-05-18,0.0015171428571428567
407,7.15,53.71,1986-05-19,0.00152
408,7.15,53.71,1986-05-20,0.0014557142857142852
409,7.15,53.71,1986-05-21,0.001391428571428571
410,7.15,53.71,1986-05-22,0.0013271428571428568
411,7.15,53.71,1986-05-23,0.0012628571428571426
412,7.15,53.71,1986-05-24,0.0011985714285714284
413,7.15,53.71,1986-05-25,0.0011342857142857142
414,7.15,53.71,1986-05-26,0.00107
415,7.15,53.71,1986-05-27,0.000856
416,7.15,53.71,1986-05-28,0.000642
417,7.15,53.71,1986-05-29,0.000428
418,7.15,53.71,1986-05-30,0.000214
419,7.15,53.71,1986-05-31,0.0
420,8.77,50.1,1986-04-27,0.0
421,8.77,50.1,1986-04-28,0.0006666666666666666
422,8.77,50.1,1986-04-29,0.0013333333333333333
423,8.77,50.1,1986-04-30,0.002
424,8.77,50.1,1986-05-01,0.011
425,8.77,50.1,1986-05-02,3.441
426,8.77,50.1,1986-05-03,1.04
427,8.77,50.1,1986-05-04,0.85
428,8.77,50.1,1986-05-05,0.37
429,8.77,50.1,1986-05-06,0.141
430,8.77,50.1,1986-05-07,0.13
431,8.77,50.1,1986-05-08,0.016
432,8.77,50.1,1986-05-09,0.009
433,8.77,50.1,1986-05-10,0.007
434,8.77,50.1,1986-05-11,0.006
435,8.77,50.1,1986-05-12,0.009
436,8.77,50.1,1986-05-13,0.006999999999999999
437,8.77,50.1,1986-05-14,0.005
